,Country,Year,Elec/Heat,Manu/Cons,Trans,Fuel,Fugitive,Total
0,Albania,1971.0,0.79,1.41,0.72,0.97,0.001726190476190476,3.89172619047619
1,Albania,1972.0,0.83,1.82,0.77,1.07,0.001726190476190476,4.49172619047619
2,Albania,1973.0,0.84,1.01,0.78,1.27,0.001726190476190476,3.9017261904761904
3,Albania,1974.0,0.81,1.13,0.82,1.38,0.001726190476190476,4.14172619047619
4,Albania,1975.0,0.79,1.1,0.85,1.72,0.001726190476190476,4.46172619047619
5,Albania,1976.0,0.8,1.21,0.99,1.88,0.001726190476190476,4.88172619047619
6,Albania,1977.0,0.86,1.35,1.02,1.99,0.001726190476190476,5.22172619047619
7,Albania,1978.0,0.95,1.92,1.11,2.19,0.001726190476190476,6.17172619047619
8,Albania,1979.0,0.99,2.63,1.25,2.66,0.001726190476190476,7.53172619047619
9,Albania,1980.0,0.91,3.5,1.47,1.71,0.001726190476190476,7.59172619047619
10,Albania,1981.0,1.05,2.77,0.81,1.79,0.001726190476190476,6.421726190476191
11,Albania,1982.0,1.18,2.74,0.85,1.88,0.001726190476190476,6.6517261904761895
12,Albania,1983.0,1.18,3.24,0.92,1.99,0.001726190476190476,7.33172619047619
13,Albania,1984.0,1.22,2.97,1.31,2.04,0.001726190476190476,7.54172619047619
14,Albania,1985.0,1.25,2.81,1.07,2.06,0.001726190476190476,7.191726190476191
15,Albania,1986.0,1.27,2.78,1.0,2.17,0.001726190476190476,7.22172619047619
16,Albania,1987.0,1.26,2.97,1.03,2.18,0.001726190476190476,7.441726190476191
17,Albania,1988.0,1.23,2.9,1.14,2.3,0.001726190476190476,7.5717261904761894
18,Albania,1989.0,1.25,3.49,0.95,1.49,0.001726190476190476,7.181726190476191
19,Albania,1990.0,0.75,2.76,0.7,2.04,0.001726190476190476,6.25172619047619
20,Albania,1991.0,0.56,2.0,0.53,1.29,0.001726190476190476,4.38172619047619
21,Albania,1992.0,0.42,1.34,0.4,0.56,0.001726190476190476,2.7217261904761907
22,Albania,1993.0,0.56,0.77,0.5,0.39,0.001726190476190476,2.2217261904761907
23,Albania,1994.0,0.63,0.69,0.63,0.33,0.0725,2.3524999999999996
24,Albania,1995.0,0.33,0.59,0.62,0.32,0.001726190476190476,1.8617261904761906
25,Albania,1996.0,0.27,0.53,0.61,0.45,0.001726190476190476,1.8617261904761906
26,Albania,1997.0,0.24,0.33,0.49,0.37,0.001726190476190476,1.4317261904761907
27,Albania,1998.0,0.22,0.43,0.73,0.29,0.001726190476190476,1.6717261904761904
28,Albania,1999.0,0.26,0.54,1.39,0.75,0.001726190476190476,2.9417261904761904
29,Albania,2000.0,0.32,0.52,1.45,0.76,0.001726190476190476,3.0517261904761903
30,Albania,2001.0,0.29,0.59,1.53,0.79,0.001726190476190476,3.2017261904761907
